Date,Equity
19720313,125680.51340953998
19720314,126460.07978453998
19720315,126806.78686853999
19720316,126721.47609853998
19720317,127241.71452153998
19720320,126754.36664453999
19720321,125805.48834953998
19720322,126400.90935553999
19720323,128296.90500753999
19720324,127801.87878153998
19720327,127906.85983953999
19720328,127711.55811753999
19720329,127689.26244953998
19720330,128641.92693353999
19720403,129004.91262953998
19720404,129505.98420153998
19720405,130239.40403053998
19720406,130419.92558153998
19720407,129814.42433627298
19720410,129935.79871127298
19720411,130943.21188327298
19720412,132511.36812377296
19720413,132824.919114773
19720414,133269.99969077297
19720417,133390.24029577296
19720418,133298.180513773
19720419,132376.51677777298
19720420,132174.910997773
19720421,131687.17934977298
19720424,130079.81829927299
19720425,128923.03012727298
19720426,128834.42169527298
19720427,128790.19887927298
19720428,130988.43888877299
19720501,129327.28332727298
19720502,129375.32459977298
19720503,129024.88894477299
19720504,128762.69070227299
19720505,130385.18525177299
19720508,129805.85021577298
19720509,127338.37636027297
19720510,128792.77186477298
19720511,129388.64952677298
19720512,130247.80691577298
19720515,130759.23731777299
19720516,130975.53879677298
19720517,131530.67334577296
19720518,132823.72729977296
19720519,134369.321589773
19720522,135246.624045773
19720523,135133.918550773
19720524,135427.939061773
19720525,135216.51217377296
19720526,135292.63524977298
19720530,135195.41188077297
19720531,134178.991004773
19720601,134009.529691773
19720602,133913.78417577298
19720605,133227.74661677296
19720606,132205.680207773
19720607,131551.91723877296
19720608,131449.270663773
19720609,130447.28712877298
19720612,130798.60073677298
19720613,131820.181408673
19720614,133338.921149673
19720615,133549.83087367297
19720616,133417.79749267298
19720619,132286.258998773
19720620,133073.11770377296
19720621,134199.203478673
19720622,134407.59727067297
19720623,133885.56467667298
19720626,132250.42487477296
19720627,131563.144906773
19720628,131456.706878773
19720629,130779.50851477298
19720630,132006.136588673
19720703,132853.920530673
19720705,133877.394813673
19720706,135549.205488673
19720707,133757.165069774
19720710,132937.764760774
19720711,131838.475146774
19720712,131728.851430774
19720713,131015.714990774
19720714,131666.241062774
19720717,129777.653725774
19720718,129715.097234774
19720719,130423.736136774
19720720,130097.602875774
19720721,131502.760992774
19720724,133253.531728774
19720725,132903.611423774
19720726,132699.153533774
19720727,132179.280503774
19720728,132492.180355774
19720731,132560.663970774
19720801,133833.606545774
19720802,134758.265236774
19720803,135677.080339774
19720804,136542.400048674
19720807,136430.461802674
19720808,136375.136205674
19720809,136248.544375774
19720810,136824.607652774
19720811,137980.802950774
19720814,139103.233219774
19720815,138057.596313774
19720816,137850.919762774
19720817,137891.420490774
19720818,138001.515698774
19720821,138272.751726774
19720822,138915.410199774
19720823,138181.089584774
19720824,136747.609340774
19720825,136589.721715774
19720828,135369.240094674
19720829,135406.333422674
19720830,136071.449946674
19720831,137290.348039774
19720901,138111.563299774
19720905,137541.502163774
19720906,136899.909851774
19720907,136834.935732774
19720908,136642.918031774
19720911,135747.435268774
19720912,134154.922706674
19720913,135109.812042774
19720914,134614.03036767401
19720915,134496.437548674
19720918,134245.281328674
19720919,133685.701348674
19720920,133733.036079674
19720921,133579.185356674
19720922,133704.429233674
19720925,133021.469282674
19720926,133455.522747674
19720927,135892.69774777401
19720928,136706.477923774
19720929,136259.438898774
19721002,135609.970964774
19721003,135921.139248774
19721004,136008.756319774
19721005,134228.134891774
19721006,134778.972823674
19721009,133748.113342542
19721010,134085.204500542
19721011,133427.658971542
19721012,132412.579223542
19721013,131808.350269542
19721016,130777.053420542
19721017,131520.455671542
19721018,132257.063441542
19721019,132042.507702542
19721020,133180.634622542
19721023,134594.265512542
19721024,135384.991742542
19721025,135709.566767542
19721026,137024.911689942
19721027,136572.461192942
19721030,136380.412757942
19721031,138097.591541942
19721101,139859.297563942
19721102,140567.152337942
19721103,141656.752743942
19721106,141198.999771942
19721108,140551.971542942
19721109,140982.680694942
19721110,142037.327826942
19721113,141937.57329994199
19721114,143034.224534942
19721115,142469.264257942
19721116,143430.728649942
19721117,144027.551577942
19721120,144199.089546942
19721121,145479.521364942
19721122,147000.22611794202
19721124,147680.289895942
19721127,147149.355334942
19721128,147102.289662942
19721129,146710.38894194202
19721130,147042.308623942
19721201,148076.741395942
19721204,149215.831827542
19721205,148908.443940542
19721206,149062.251278542
19721207,149661.130036542
19721208,149975.024488542
19721211,150555.895724542
19721212,150060.014177542
19721213,149543.21802654202
19721214,148470.865160942
19721215,149110.004945542
19721218,147809.029686542
19721219,146985.546493942
19721220,146590.824277942
19721221,145795.375291942
19721222,147462.259686542
19721226,148419.661506542
19721227,148604.359220542
19721229,150053.987392542
19730102,151482.126487542
19730103,152579.762361542
19730104,152155.684289542
19730105,152433.830898542
19730108,152318.249283542
19730109,150682.954401764
19730110,150610.61628076402
19730111,152782.46142556402
19730112,151006.02266156403
19730115,149393.500425564
19730116,148944.107216564
19730117,150072.29603756403
19730118,150162.966783564
19730119,150351.546619564
19730122,149685.724036564
19730123,149720.120635564
19730124,147224.37821756402
19730126,147215.160543564
19730129,146083.844067764
19730130,145901.895001764
19730131,146781.211427764
19730201,144246.54067876402
19730202,143613.71449476402
19730205,143799.02918556402
19730206,144428.32450756402
19730207,143560.829980564
19730208,143615.66194056402
19730209,145730.481011564
19730212,146672.07162256402
19730213,147523.293834564
19730214,145544.503276564
19730215,144592.89513756402
19730216,145128.135516564
19730220,145681.98749756403
19730221,144198.88895356402
19730222,143553.880822564
19730223,142274.448634564
19730226,141561.18957856402
19730227,139734.02833576401
19730228,140949.897326764
19730301,140030.00788376402
19730302,141863.355262764
19730305,143003.609779564
19730306,144958.30914656402
19730307,146202.100328564
19730308,145720.849010564
19730309,145407.64945656402
19730312,145245.59619456402
19730313,145994.086939564
19730314,146247.54908356402
19730315,145009.08701056402
19730316,144277.706687564
19730319,142777.89025756402
19730320,142381.516695564
19730321,140287.12751756402
19730322,138143.78341256402
19730323,138660.91855656402
19730326,139505.358565564
19730327,141780.72555956402
19730328,141657.679588564
19730329,143038.49698656402
19730330,141620.789654564
19730402,139704.836629564
19730403,138736.684688564
19730404,138415.110021564
19730405,138433.01216956403
19730406,139241.86537056402
19730409,141781.887457564
19730410,141137.905476243
19730411,141346.20430624302
19730412,141528.682353243
19730413,140962.066996243
19730416,139403.411881243
19730417,138814.35196024302
19730418,139491.00212524302
19730419,141340.857572243
19730423,141465.640211443
19730424,138060.796852443
19730425,136311.338744443
19730426,137214.269484443
19730427,135211.367463443
19730430,135377.515226443
19730501,135521.371155443
19730502,136688.018879443
19730503,138772.135735243
19730504,139991.184029243
19730507,138422.834838443
19730508,140217.560200443
19730509,139329.245774443
19730510,138330.150655443
19730511,138335.548604643
19730514,134661.065155643
19730515,136362.429911643
19730516,136585.054527643
19730517,134442.39328904302
19730518,132305.325231043
19730521,130284.63942404301
19730522,131564.59521004301
19730523,132358.82717704301
19730524,137029.453085443
19730525,138363.426230443
19730529,137438.248514443
19730530,135548.351668443
19730531,134423.446848443
19730601,133410.158510443
19730604,130506.452361043
19730605,132666.457631443
19730606,132273.633625443
19730607,134006.018626443
19730608,134703.069692443
19730611,133726.31774444302
19730612,135235.726719443
19730613,133966.995249443
19730614,132184.269488443
19730615,129549.535902443
19730618,127806.340816443
19730619,129673.675335443
19730620,129924.764882443
19730621,128022.407888443
19730622,128678.022092443
19730625,126619.545186443
19730626,127676.922009443
19730627,127887.902376443
19730628,129065.679154443
19730629,128954.129957443
19730702,128317.678625443
19730703,126999.747077443
19730705,127042.86581244301
19730706,128132.34874164301
19730709,129962.36302264301
19730710,129321.318971114
19730711,130491.213059114
19730712,129971.817714114
19730713,128574.49168411401
19730716,131576.49222411402
19730717,131006.96988111401
19730718,131848.013611114
19730719,133212.34412321402
19730720,133582.009385214
19730723,133566.38826121402
19730724,136151.68706321402
19730725,138812.59554701403
19730726,138776.43305901403
19730727,138271.30791221402
