<TICKER>        <NAME>
ACIW.US         ACI WORLDWIDE
ACLS.US         AXCELIS TECHNOLOGIES
ACLX.US         ARCELLX
ACMR.US         ACM RESEARCH
ACNB.US         ACNB
ACNT.US         ASCENT INDUSTRIES
ACON.US         ACLARION
ACONW.US        ACLARION
ACOR.US         ACORDA THERAPEUTICS
ACRS.US         ACLARIS THERAPEUTICS
ACRV.US         ACRIVON THERAPEUTICS
ACRX.US         ACELRX PHARMACEUTICALS
ACST.US         ACASTI PHARMA
ACT.US          ENACT HOLDINGS
ACTG.US         ACACIA RESEARCH
ACVA.US         ACV AUCTIONS
ACXP.US         ACURX PHARMACEUTICALS
ADAG.US         ADAGENE
ADAP.US         ADAPTIMMUNE THERAPEUTICS
ADBE.US         ADOBE
ADD.US          COLOR STAR TECHNOLOGY
ADEA.US         ADEIA
ADER.US         26 CAPITAL ACQUISITION
ADERU.US        26 CAPITAL ACQUISITION
ADERW.US        26 CAPITAL ACQUISITION
ADES.US         ADVANCED EMISSIONS SOLUTIONS
ADI.US          ANALOG DEVICES
ADIL.US         ADIAL PHARMACEUTICALS
ADILW.US        ADIAL PHARMACEUTICALS
ADMA.US         ADMA BIOLOGICS
ADMP.US         ADAMIS PHARMACEUTICALS
ADN.US          ADVENT TECHNOLOGIES HOLDINGS
ADNWW.US        ADVENT TECHNOLOGIES HOLDINGS
ADOC.US         EDOC ACQUISITION
ADOCR.US        EDOC ACQUISITION
ADOCW.US        EDOC ACQUISITION
ADP.US          AUTOMATIC DATA PROCESSING
ADPT.US         ADAPTIVE BIOTECHNOLOGIES
ADSE.US         ADS-TEC ENERGY
ADSEW.US        ADS-TEC ENERGY
ADSK.US         AUTODESK
ADTH.US         ADTHEORENT HOLDING
ADTHW.US        ADTHEORENT HOLDING
ADTN.US         ADTRAN HOLDINGS
ADTX.US         ADITXT
ADUS.US         ADDUS HOMECARE
ADV.US          ADVANTAGE SOLUTIONS
ADVM.US         ADVERUM BIOTECHNOLOGIES
ADVWW.US        ADVANTAGE SOLUTIONS
ADXN.US         ADDEX THERAPEUTICS
AEAE.US         ALTENERGY ACQUISITION
AEAEU.US        ALTENERGY ACQUISITION
AEAEW.US        ALTENERGY ACQUISITION
AEHL.US         ANTELOPE ENTERPRISE HOLDINGS CLASS A ORDINARY SHARES
AEHR.US         AEHR TEST SYSTEMS
AEI.US          ALSET
AEIS.US         ADVANCED ENERGY INDUSTRIES
AEMD.US         AETHLON MEDICAL
AENT.US         ALLIANCE ENTERTAINMENT HOLDING
AENTW.US        ALLIANCE ENTERTAINMENT HOLDING
AEON.US         PRIVETERRA ACQUISITION
AEP.US          AMERICAN ELECTRIC POWER
AEPPZ.US        American Electric Power Compan
AEY.US          ADDVANTAGE TECHNOLOGIES GROUP
AEYE.US         AUDIOEYE
AEZS.US         AETERNA ZENTARIS
AFAR.US         AURA FAT PROJECTS ACQUISITION
AFARU.US        AURA FAT PROJECTS ACQUISITION
AFARW.US        AURA FAT PROJECTS ACQUISITION
AFBI.US         AFFINITY BANCSHARES
AFCG.US         AFC GAMMA
AFIB.US         ACUTUS MEDICAL
AFMD.US         AFFIMED
AFRI.US         FORAFRIC GLOBAL
AFRIW.US        FORAFRIC GLOBAL
AFRM.US         AFFIRM HOLDINGS
AFYA.US         AFYA
AGAE.US         ALLIED GAMING & ENTERTAINMENT
AGBA.US         AGBA GROUP HOLDING
AGBAW.US        AGBA ACQUISITION
AGEN.US         AGENUS
AGFY.US         AGRIFY
AGIL.US         AGILETHOUGHT
AGILW.US        AGILETHOUGHT
AGIO.US         AGIOS PHARMACEUTICALS
AGLE.US         AEGLEA BIOTHERAPEUTICS
AGMH.US         AGM GROUP HOLDINGS
AGNC.US         AGNC INVESTMENT
AGNCL.US        AGNC Investment Corp
AGNCM.US        AGNC Investment Corp
AGNCN.US        AGNC Investment Corp
AGNCO.US        AGNC Investment Corp
AGNCP.US        AGNC Investment Corp
AGRI.US         AGRIFORCE GROWING SYSTEMS
AGRIW.US        AGRIFORCE GROWING SYSTEMS
AGRX.US         AGILE THERAPEUTICS
AGYS.US         AGILYSYS
AHCO.US         ADAPTHEALTH
AHG.US          AKSO HEALTH GROUP
AHI.US          ADVANCED HEALTH INTELLIGENCE
AIB.US          AIB ACQUISITION
AIH.US          AESTHETIC MEDICAL INT HOLDINGS GROUP
AIHS.US         SENMIAO TECHNOLOGY
AIMAU.US        AIMFINITY INVESTMENT I
AIMAW.US        AIMFINITY INVESTMENT I
AIMBU.US        AIMFINITY INVESTMENT I
AIMD.US         AINOS
AIMDW.US        AINOS
AIP.US          ARTERIS
AIRG.US         AIRGAIN
AIRS.US         AIRSCULPT TECHNOLOGIES
AIRT.US         AIR T
AIRTP.US        Air T
AIXI.US         XIAO I
AKAM.US         AKAMAI TECHNOLOGIES
AKAN.US         AKANDA
AKBA.US         AKEBIA THERAPEUTICS
AKLI.US         AKILI
AKRO.US         AKERO THERAPEUTICS
AKTS.US         AKOUSTIS TECHNOLOGIES
AKTX.US         AKARI THERAPEUTICS
AKU.US          AKUMIN
AKYA.US         AKOYA BIOSCIENCES
ALAR.US         ALARUM TECHNOLOGIES
ALBT.US         AVALON GLOBOCARE
ALCO.US         ALICO
ALCY.US         ALCHEMY INVESTMENTS ACQUISITION 1
ALCYU.US        ALCHEMY INVESTMENTS ACQUISITION 1
ALCYW.US        ALCHEMY INVESTMENTS ACQUISITION 1
ALDX.US         ALDEYRA THERAPEUTICS
ALEC.US         ALECTOR
ALGM.US         ALLEGRO MICROSYSTEMS
ALGN.US         ALIGN TECHNOLOGY
ALGS.US         ALIGOS THERAPEUTICS
ALGT.US         ALLEGIANT TRAVEL
ALHC.US         ALIGNMENT HEALTHCARE
ALIM.US         ALIMERA SCIENCES
ALKS.US         ALKERMES
ALKT.US         ALKAMI TECHNOLOGY
ALLK.US         ALLAKOS
ALLO.US         ALLOGENE THERAPEUTICS
ALLR.US         ALLARITY THERAPEUTICS
ALLT.US         ALLOT
ALNY.US         ALNYLAM PHARMACEUTICALS
ALOR.US         ALSP ORCHID ACQUISITION I
ALORU.US        ALSP ORCHID ACQUISITION I
ALOT.US         ASTRONOVA
ALPA.US         ALPHA HEALTHCARE ACQUISITION III
ALPN.US         ALPINE IMMUNE SCIENCES
ALPP.US         ALPINE 4 HOLDINGS
ALPSQ.US        ALPINE SUMMIT ENERGY PARTNERS
ALRM.US         ALARM.COM HOLDINGS
ALRN.US         AILERON THERAPEUTICS
ALRS.US         ALERUS FINANCIAL
ALSA.US         ALPHA STAR ACQUISITION
ALSAR.US        ALPHA STAR ACQUISITION
ALSAU.US        ALPHA STAR ACQUISITION
ALSAW.US        ALPHA STAR ACQUISITION
ALT.US          ALTIMMUNE
ALTI.US         ALTI GLOBAL
ALTO.US         ALTO INGREDIENTS
ALTR.US         ALTAIR ENGINEERING
ALTU.US         ALTITUDE ACQUISITION
ALTUU.US        ALTITUDE ACQUISITION
ALTUW.US        ALTITUDE ACQUISITION
ALVO.US         ALVOTECH
ALVOW.US        ALVOTECH
ALVR.US         ALLOVIR
ALXO.US         ALX ONCOLOGY HOLDINGS
ALYA.US         ALITHYA GROUP
ALZN.US         ALZAMEND NEURO
AMAL.US         AMALGAMATED FINANCIAL
AMAM.US         AMBRX BIOPHARMA
AMAO.US         AMERICAN ACQUISITION OPPORTUNITY
AMAOU.US        AMERICAN ACQUISITION OPPORTUNITY
AMAT.US         APPLIED MATERIALS
AMBA.US         AMBARELLA
AMCX.US         AMC NETWORKS
AMD.US          ADVANCED MICRO DEVICES
AMED.US         AMEDISYS
AMEH.US         APOLLO MEDICAL HOLDINGS
AMGN.US         AMGEN
AMID.US         ARGENT MID CAP ETF
AMKR.US         AMKOR TECHNOLOGY
AMLI.US         AMERICAN LITHIUM
AMLX.US         AMYLYX PHARMACEUTICALS
AMNB.US         AMERICAN NATIONAL BANKSHARES
AMOT.US         ALLIED MOTION TECHNOLOGIES
AMPG.US         AMPLITECH GROUP
AMPGW.US        AMPLITECH GROUP
AMPH.US         AMPHASTAR PHARMACEUTICALS
AMPL.US         AMPLITUDE
AMRK.US         A-MARK PRECIOUS METALS
AMRN.US         AMARIN
AMRS.US         AMYRIS
AMSC.US         AMERICAN SUPERCONDUCTOR
AMSF.US         AMERISAFE
AMST.US         AMESITE
AMSWA.US        AMERICAN SOFTWARE INC/GA
AMTB.US         AMERANT BANCORP
AMTI.US         APPLIED MOLECULAR TRANSPORT
AMTX.US         AEMETIS
AMWD.US         AMERICAN WOODMARK
AMZD.US         DIREXION DAILY AMZN BEAR 1X SHARES
AMZN.US         AMAZON.COM
AMZU.US         DIREXION DAILY AMZN BULL 1.5X SHARES
ANAB.US         ANAPTYSBIO
ANDE.US         ANDERSONS
ANEB.US         ANEBULO PHARMACEUTICALS
ANGH.US         ANGHAMI
ANGHW.US        ANGHAMI
ANGI.US         ANGI
ANGN.US         ANGION BIOMEDICA
ANGO.US         ANGIODYNAMICS
ANIK.US         ANIKA THERAPEUTICS
ANIP.US         ANI PHARMACEUTICALS
ANIX.US         ANIXA BIOSCIENCES
ANNX.US         ANNEXON
ANPC.US         ANPAC BIO-MEDICAL SCIENCE
ANSS.US         ANSYS
ANTE.US         AIRNET TECHNOLOGY
ANTX.US         AN2 THERAPEUTICS
ANY.US          SPHERE 3D
ANZU.US         ANZU SPECIAL ACQUISITION I
ANZUU.US        ANZU SPECIAL ACQUISITION I
ANZUW.US        ANZU SPECIAL ACQUISITION I
AOGO.US         AROGO CAPITAL ACQUISITION
AOGOU.US        AROGO CAPITAL ACQUISITION
AOSL.US         ALPHA & OMEGA SEMICONDUCTOR
AOTG.US         AOT GROWTH AND INNOVATION ETF
AOUT.US         AMERICAN OUTDOOR BRANDS
APA.US          APA
APAC.US         STONEBRIDGE ACQUISITION
APACW.US        STONEBRIDGE ACQUISITION
APCX.US         APPTECH PAYMENTS
APCXW.US        APPTECH PAYMENTS
APDN.US         APPLIED DNA SCIENCES
APEI.US         AMERICAN PUBLIC EDUCATION
APGE.US         APOGEE THERAPEUTICS
APGN.US         APEXIGEN
APGNW.US        APEXIGEN
API.US          AGORA
APLD.US         APPLIED DIGITAL
APLM.US         APOLLOMICS
APLMW.US        APOLLOMICS
APLS.US         APELLIS PHARMACEUTICALS
APLT.US         APPLIED THERAPEUTICS
APM.US          APTORUM GROUP
APMI.US         AXONPRIME INFRASTRUCTURE ACQUISITION
APMIU.US        AXONPRIME INFRASTRUCTURE ACQUISITION
APMIW.US        AXONPRIME INFRASTRUCTURE ACQUISITION
APOG.US         APOGEE ENTERPRISES
APP.US          APPLOVIN
APPF.US         APPFOLIO
APPHQ.US        APPHARVEST
APPN.US         APPIAN
APPS.US         DIGITAL TURBINE
APPWQ.US        APPHARVEST
APRE.US         APREA THERAPEUTICS
APTM.US         ALPHA PARTNERS TECHNOLOGY MERGER
APTMU.US        ALPHA PARTNERS TECHNOLOGY MERGER
APTMW.US        ALPHA PARTNERS TECHNOLOGY MERGER
APTO.US         APTOSE BIOSCIENCES
APVO.US         APTEVO THERAPEUTICS
APWC.US         ASIA PACIFIC WIRE & CABLE
APXI.US         APX ACQUISITION I
APXIU.US        APX ACQUISITION I
APXIW.US        APX ACQUISITION I
APYX.US         APYX MEDICAL
AQB.US          AQUABOUNTY TECHNOLOGIES
AQMS.US         AQUA METALS
AQST.US         AQUESTIVE THERAPEUTICS
AQU.US          AQUARON ACQUISITION
AQUNR.US        AQUARON ACQUISITION
AQUNU.US        AQUARON ACQUISITION
ARAV.US         ARAVIVE
ARAY.US         ACCURAY
ARBB.US         ARB IOT GROUP
ARBE.US         ARBE ROBOTICS
ARBEW.US        ARBE ROBOTICS
ARBG.US         AEQUI ACQUISITION
ARBGU.US        AEQUI ACQUISITION
ARBGW.US        AEQUI ACQUISITION
ARBK.US         ARGO BLOCKCHAIN
ARBKL.US        Argo Blockchain plc
ARCB.US         ARCBEST
ARCC.US         ARES CAPITAL
ARCE.US         ARCO PLATFORM
ARCT.US         ARCTURUS THERAPEUTICS HOLDINGS
ARDS.US         ARIDIS PHARMACEUTICALS
ARDX.US         ARDELYX
AREB.US         AMERICAN REBEL HOLDINGS
AREBW.US        AMERICAN REBEL HOLDINGS
AREC.US         AMERICAN RESOURCES
ARGX.US         ARGENX SE
ARHS.US         ARHAUS
ARIZ.US         ARISZ ACQUISITION
ARIZR.US        ARISZ ACQUISITION
ARIZU.US        ARISZ ACQUISITION
ARIZW.US        ARISZ ACQUISITION
ARKO.US         ARKO
ARKOW.US        ARKO
ARKR.US         ARK RESTAURANTS
ARLP.US         ALLIANCE RESOURCE PARTNERS
AROW.US         ARROW FINANCIAL
ARQQ.US         ARQIT QUANTUM
ARQQW.US        ARQIT QUANTUM
ARQT.US         ARCUTIS BIOTHERAPEUTICS
ARRW.US         ARROWROOT ACQUISITION
ARRWU.US        ARROWROOT ACQUISITION
ARRWW.US        ARROWROOT ACQUISITION
ARRY.US         ARRAY TECHNOLOGIES
ARTE.US         ARTEMIS STRATEGIC INVESTMENT
ARTEU.US        ARTEMIS STRATEGIC INVESTMENT
ARTEW.US        ARTEMIS STRATEGIC INVESTMENT
ARTL.US         ARTELO BIOSCIENCES
ARTLW.US        ARTELO BIOSCIENCES
ARTNA.US        ARTESIAN RESOURCES
ARTW.US         ART'S-WAY MANUFACTURING
ARVL.US         ARRIVAL
ARVN.US         ARVINAS
ARVR.US         FIRST TRUST INDXX METAVERSE ETF
ARWR.US         ARROWHEAD PHARMACEUTICALS
ARYD.US         ARYA SCIENCES ACQUISITION IV
ARYE.US         ARYA SCIENCES ACQUISITION V
ASCA.US         A SPAC I ACQUISITION
ASCAR.US        A SPAC I ACQUISITION
ASCAU.US        A SPAC I ACQUISITION
ASCB.US         A SPAC II ACQUISITION
ASCBR.US        A SPAC II ACQUISITION
ASLE.US         AERSALE
ASLN.US         ASLAN PHARMACEUTICALS
ASMB.US         ASSEMBLY BIOSCIENCES
ASML.US         ASML HOLDING
ASND.US         ASCENDIS PHARMA A/S
ASNS.US         ACTELIS NETWORKS
ASO.US          ACADEMY SPORTS & OUTDOORS
ASPA.US         ABRI SPAC I
ASPAU.US        ABRI SPAC I
ASPI.US         ASP ISOTOPES
ASPS.US         ALTISOURCE PORTFOLIO SOLUTIONS
ASRT.US         ASSERTIO HOLDINGS
ASRV.US         AMERISERV FINANCIAL
ASST.US         ASSET ENTITIES
ASTC.US         ASTROTECH
ASTE.US         ASTEC INDUSTRIES
ASTI.US         ASCENT SOLAR TECHNOLOGIES
ASTL.US         ALGOMA STEEL GROUP
ASTLW.US        ALGOMA STEEL GROUP
ASTR.US         ASTRA SPACE
ASTS.US         AST SPACEMOBILE
ASTSW.US        AST SPACEMOBILE
ASUR.US         ASURE SOFTWARE
ASYS.US         AMTECH SYSTEMS
ATAI.US         ATAI LIFE SCIENCES
ATAK.US         AURORA TECHNOLOGY ACQUISITION
ATAKR.US        AURORA TECHNOLOGY ACQUISITION
ATAKU.US        AURORA TECHNOLOGY ACQUISITION
ATAKW.US        AURORA TECHNOLOGY ACQUISITION
ATAT.US         ATOUR LIFESTYLE HOLDINGS
ATCOL.US        Atlas Corp
ATEC.US         ALPHATEC HOLDINGS
ATER.US         ATERIAN
ATEX.US         ANTERIX
ATHA.US         ATHIRA PHARMA
ATHE.US         ALTERITY THERAPEUTICS
ATHX.US         ATHERSYS
ATIF.US         ATIF HOLDINGS
ATLC.US         ATLANTICUS HOLDINGS
ATLCL.US        Atlanticus Holdings Corp
ATLCP.US        Atlanticus Holdings Corp
ATLO.US         AMES NATIONAL
ATLX.US         ATLAS LITHIUM
ATMC.US         ALPHATIME ACQUISITION
ATMCR.US        ALPHATIME ACQUISITION
ATMCU.US        ALPHATIME ACQUISITION
ATMCW.US        AlphaTime Acquisition Corp
ATMV.US         ALPHAVEST ACQUISITION
ATMVR.US        ALPHAVEST ACQUISITION
ATMVU.US        ALPHAVEST ACQUISITION
ATNF.US         180 LIFE SCIENCES
ATNFW.US        180 LIFE SCIENCES
ATNI.US         ATN INT
ATOM.US         ATOMERA
ATOS.US         ATOSSA THERAPEUTICS
ATRA.US         ATARA BIOTHERAPEUTICS
ATRC.US         ATRICURE
ATRI.US         ATRION
ATRO.US         ASTRONICS
ATSG.US         AIR TRANSPORT SERVICES GROUP
ATVI.US         ACTIVISION BLIZZARD
ATXG.US         ADDENTAX GROUP
ATXI.US         AVENUE THERAPEUTICS
ATXS.US         ASTRIA THERAPEUTICS
AUBN.US         AUBURN NATIONAL BANCORP
AUDC.US         AUDIOCODES
AUGX.US         AUGMEDIX
AUID.US         AUTHID
AUPH.US         AURINIA PHARMACEUTICALS
AUR.US          AURORA INNOVATION
AURA.US         AURA BIOSCIENCES
AURC.US         AURORA ACQUISITION
AURCU.US        AURORA ACQUISITION
AUROW.US        AURORA INNOVATION
AUTL.US         AUTOLUS THERAPEUTICS
AUUD.US         AUDDIA
AUUDW.US        AUDDIA
AUVI.US         APPLIED UV
AUVIP.US        Applied UV
AVAH.US         AVEANNA HEALTHCARE HOLDINGS
AVAV.US         AEROVIRONMENT
AVDL.US         AVADEL PHARMACEUTICALS
AVDX.US         AVIDXCHANGE HOLDINGS
AVGO.US         BROADCOM
AVGR.US         AVINGER
AVHI.US         ACHARI VENTURES HOLDINGS I
AVHIU.US        ACHARI VENTURES HOLDINGS I
AVHIW.US        ACHARI VENTURES HOLDINGS I
AVID.US         AVID TECHNOLOGY
AVIR.US         ATEA PHARMACEUTICALS
AVNW.US         AVIAT NETWORKS
AVO.US          MISSION PRODUCE
AVPT.US         AVEPOINT
AVPTW.US        AVEPOINT
AVRO.US         AVROBIO
AVT.US          AVNET
AVTA.US         AVANTAX
AVTE.US         AEROVATE THERAPEUTICS
AVTX.US         AVALO THERAPEUTICS
AVXL.US         ANAVEX LIFE SCIENCES
AWH.US          ASPIRA WOMEN'S HEALTH
AWIN.US         AERWINS TECHNOLOGY
AWINW.US        AERWINS TECHNOLOGIES
AWRE.US         AWARE INC/MA
AXDX.US         ACCELERATE DIAGNOSTICS
AXGN.US         AXOGEN
AXLA.US         AXCELLA HEALTH
AXNX.US         AXONICS
AXON.US         AXON ENTERPRISE
AXSM.US         AXSOME THERAPEUTICS
AXTI.US         AXT
AY.US           ATLANTICA SUSTAINABLE INFRASTRUCTURE
AYRO.US         AYRO
AYTU.US         AYTU BIOPHARMA
AZ.US           A2Z SMART TECHNOLOGIES
AZN.US          ASTRAZENECA
AZPN.US         ASPEN TECHNOLOGY
AZTA.US         AZENTA
AZYO.US         AZIYO BIOLOGICS
BABX.US         GRANITESHARES 1.75X LONG BABA DAILY ETF
BACK.US         IMAC HOLDINGS
BAER.US         BRIDGER AEROSPACE GROUP HOLDINGS
BAERW.US        BRIDGER AEROSPACE GROUP HOLDINGS
BAFN.US         BAYFIRST FINANCIAL
BAND.US         BANDWIDTH
BANF.US         BANCFIRST
BANFP.US        BancFirst Corp
BANL.US         CBL INT
BANR.US         BANNER
BANX.US         ARROWMARK FINANCIAL
BAOS.US         BAOSHENG MEDIA GROUP HOLDING
BASE.US         COUCHBASE
BATRA.US        LIBERTY MEDIA CORP-LIBERTY BRAVES
BATRK.US        LIBERTY MEDIA CORP-LIBERTY BRAVES
BBCP.US         CONCRETE PUMPING HOLDINGS
BBGI.US         BEASLEY BROADCAST GROUP
BBIG.US         VINCO VENTURES
BBIO.US         BRIDGEBIO PHARMA
BBLG.US         BONE BIOLOGICS
BBLGW.US        BONE BIOLOGICS
BBSI.US         BARRETT BUSINESS SERVICES
BCAB.US         BIOATLA
BCAL.US         SOUTHERN CALIFORNIA BANCORP
BCAN.US         BYND CANNASOFT ENTERPRISES
BCBP.US         BCB BANCORP
BCDA.US         BIOCARDIA
BCDAW.US        BIOCARDIA
BCEL.US         ATRECA
BCLI.US         BRAINSTORM CELL THERAPEUTICS
BCML.US         BAYCOM
BCOV.US         BRIGHTCOVE
BCOW.US         1895 BANCORP OF WISCONSIN
BCPC.US         BALCHEM
BCRX.US         BIOCRYST PHARMACEUTICALS
BCSA.US         BLOCKCHAIN COINVESTORS ACQUISITION I
BCSAU.US        BLOCKCHAIN COINVESTORS ACQUISITION I
BCSAW.US        BLOCKCHAIN COINVESTORS ACQUISITION I
BCTX.US         BRIACELL THERAPEUTICS
BCTXW.US        BRIACELL THERAPEUTICS
BCYC.US         BICYCLE THERAPEUTICS
BDGS.US         EA Series Trust Bridges Capita
BDRX.US         BIODEXA PHARMACEUTICALS
BDSX.US         BIODESIX
BDTX.US         BLACK DIAMOND THERAPEUTICS
BEAM.US         BEAM THERAPEUTICS
BEAT.US         HEARTBEAM
BEATW.US        HEARTBEAM
BECN.US         BEACON ROOFING SUPPLY
BEEM.US         BEAM GLOBAL
BEEMW.US        BEAM GLOBAL
BELFA.US        BEL FUSE
BELFB.US        BEL FUSE
BENF.US         BENEFICIENT
BENFW.US        BENEFICIENT
BFC.US          BANK FIRST
BFI.US          BURGERFI INT
BFIIW.US        BURGERFI INT
BFIN.US         BANKFINANCIAL
BFRG.US         BULLFROG AI HOLDINGS
BFRI.US         BIOFRONTERA
BFRIW.US        BIOFRONTERA
BFST.US         BUSINESS FIRST BANCSHARES
BGC.US          BGC GROUP
BGCP.US         BGC PARTNERS
BGFV.US         BIG 5 SPORTING GOODS
BGLC.US         BIONEXUS GENE LAB
BGNE.US         BEIGENE
BGRY.US         BERKSHIRE GREY
BGRYW.US        BERKSHIRE GREY
BGXX.US         BRIGHT GREEN
BHAC.US         CRIXUS BH3 ACQUISITION
BHACU.US        CRIXUS BH3 ACQUISITION
BHACW.US        CRIXUS BH3 ACQUISITION
BHAT.US         BLUE HAT INTERACTIVE ENTERTAINMENT TECHNOLOGY
BHF.US          BRIGHTHOUSE FINANCIAL
BHFAL.US        Brighthouse Financial
BHFAM.US        Brighthouse Financial
BHFAN.US        Brighthouse Financial
BHFAO.US        Brighthouse Financial
BHFAP.US        Brighthouse Financial
BHRB.US         BURKE & HERBERT FINANCIAL SERVICES
BIAF.US         BIOAFFINITY TECHNOLOGIES
BIAFW.US        BIOAFFINITY TECHNOLOGIES
BIDU.US         BAIDU
BIGB.US         ROUNDHILL BIG BANK ETF
BIGC.US         BIGCOMMERCE HOLDINGS
BIGT.US         ROUNDHILL BIG TECH ETF
BIIB.US         BIOGEN
BILI.US         BILIBILI
BIMI.US         BIMI INT MEDICAL
BIOC.US         BIOCEPT
BIOL.US         BIOLASE
BIOR.US         BIORA THERAPEUTICS
BIOS.US         BIOPLUS ACQUISITION
BIOSU.US        BIOPLUS ACQUISITION
BIOSW.US        BIOPLUS ACQUISITION
BIOX.US         BIOCERES CROP SOLUTIONS
BIRD.US         ALLBIRDS
BITF.US         BITFARMS LTD/CANADA
BITS.US         GLOBAL X BLOCKCHAIN & BITCOIN STRATEGY ETF
BIVI.US         BIOVIE
BJDX.US         BLUEJAY DIAGNOSTICS
BJRI.US         BJ'S RESTAURANTS
BKCC.US         BLACKROCK CAPITAL INVESTMENT
BKIV.US         BNY Mellon ETF Trust BNY Mello
BKNG.US         BOOKING HOLDINGS
BKR.US          BAKER HUGHES
BKSC.US         BANK OF SOUTH CAROLINA
BKWO.US         BNY MELLON WOMEN'S OPPORTUNITIES ETF
BKYI.US         BIO-KEY INT
BL.US           BLACKLINE
BLAC.US         BELLEVUE LIFE SCIENCES ACQUISITION
BLACR.US        BELLEVUE LIFE SCIENCES ACQUISITION
BLACU.US        BELLEVUE LIFE SCIENCES ACQUISITION
BLACW.US        BELLEVUE LIFE SCIENCES ACQUISITION
BLBD.US         BLUE BIRD
BLBX.US         BLACKBOXSTOCKS
BLCM.US         BELLICUM PHARMACEUTICALS
BLDE.US         BLADE AIR MOBILITY
BLDEW.US        BLADE AIR MOBILITY
BLDP.US         BALLARD POWER SYSTEMS
BLEU.US         BLEUACACIA
BLEUR.US        BLEUACACIA
BLEUU.US        BLEUACACIA
BLFS.US         BIOLIFE SOLUTIONS
BLFY.US         BLUE FOUNDRY BANCORP
BLIN.US         BRIDGELINE DIGITAL
BLKB.US         BLACKBAUD
BLLD.US         JPMORGAN SUSTAINABLE INFRASTRUCTURE ETF
BLMN.US         BLOOMIN' BRANDS
BLNG.US         BELONG ACQUISITION
BLNGU.US        BELONG ACQUISITION
BLNGW.US        BELONG ACQUISITION
BLNK.US         BLINK CHARGING
BLPH.US         BELLEROPHON THERAPEUTICS
BLRX.US         BIOLINE RX
BLTE.US         BELITE BIO
BLU.US          BELLUS HEALTH
BLUE.US         BLUEBIRD BIO
BLZE.US         BACKBLAZE
BMBL.US         BUMBLE
BMEA.US         BIOMEA FUSION
BMR.US          BEAMR IMAGING
BMRA.US         BIOMERICA
BMRC.US         BANK OF MARIN BANCORP
BMRN.US         BIOMARIN PHARMACEUTICAL
BNGO.US         BIONANO GENOMICS
BNGOW.US        BIONANO GENOMICS
BNIX.US         BANNIX ACQUISITION
BNIXR.US        BANNIX ACQUISITION
BNIXW.US        BANNIX ACQUISITION
BNMV.US         BITNILE METAVERSE
BNNRU.US        BANNER ACQUISITION
BNOX.US         BIONOMICS
BNR.US          BURNING ROCK BIOTECH
BNRG.US         BRENMILLER ENERGY
BNSOF.US        BONSO ELECTRONICS INT
BNTC.US         BENITEC BIOPHARMA
BNTX.US         BIONTECH SE
BOCN.US         BLUE OCEAN ACQUISITION
BOCNU.US        BLUE OCEAN ACQUISITION
BOCNW.US        BLUE OCEAN ACQUISITION
BOF.US          BRANCHOUT FOOD INC/OR
BOKF.US         BOK FINANCIAL
